user_id,al farissi,ali ibrahim,alvi syahrini utami,anggina primanita,annisa darmawahyuni,danny matthew saputra,deris stiawan,desty rodiah,dian palupi rini,julian supardi,junia kurniati,kanda januar miraswan,mastura diana marieska,muhammad naufal rachmatullah,novi yusliani,rifkie primartha,rizki kurniati
mhs_171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_172,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_178,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_180,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_181,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_183,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_184,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_188,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_195,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mhs_203,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_204,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_208,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_209,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
